coral_uid,host_species,host_species_md,taxon,taxon_label,n_observations,n_present,total_count,occurrence,mean_abundance,intensity
8Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,10,6,11,0.6,1.1,1.8333333333333333
8Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,10,0,0,0,0,NA
8Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,10,8,14,0.8,1.4,1.75
8Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,6,0,0,0,0,NA
8Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,6,2,2,0.3333333333333333,0.3333333333333333,1
8Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,11,0,0,0,0,NA
8Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,11,1,2,0.09090909090909091,0.18181818181818182,2
8Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,0,0,NA
8Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,7,11,0.4375,0.6875,1.5714285714285714
8Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,25,0,0,0,0,NA
8Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,25,16,31,0.64,1.24,1.9375
